
2025/01/01 (01:48:06) | ===> btop++ v.1.4.0
2025/01/01 (01:48:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (14:27:53) | ===> btop++ v.1.4.0
2025/01/01 (14:27:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (22:01:40) | ===> btop++ v.1.4.0
2025/01/02 (22:01:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (11:11:57) | ===> btop++ v.1.4.0
2025/02/07 (11:11:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (11:14:08) | ===> btop++ v.1.4.0
2025/02/07 (11:14:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (11:14:49) | ===> btop++ v.1.4.0
2025/02/07 (11:14:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (11:15:10) | ===> btop++ v.1.4.0
2025/02/07 (11:15:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (11:15:29) | ===> btop++ v.1.4.0
2025/02/07 (11:15:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (11:15:32) | ===> btop++ v.1.4.0
2025/02/07 (11:15:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (11:38:21) | ===> btop++ v.1.4.0
2025/02/07 (11:38:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (21:57:02) | ===> btop++ v.1.4.0
2025/02/07 (21:57:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (21:57:11) | ===> btop++ v.1.4.0
2025/02/07 (21:57:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (21:58:13) | ===> btop++ v.1.4.0
2025/02/07 (21:58:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (22:04:15) | ===> btop++ v.1.4.0
2025/02/07 (22:04:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (15:45:42) | ===> btop++ v.1.4.0
2025/02/08 (15:45:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (17:06:50) | ===> btop++ v.1.4.0
2025/02/08 (17:06:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (19:53:15) | ===> btop++ v.1.4.0
2025/02/08 (19:53:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (20:47:00) | ===> btop++ v.1.4.0
2025/02/08 (20:47:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (21:08:36) | ===> btop++ v.1.4.0
